title,0
Dial M for Murder (1954) - IMDb,"[['place', 'room', 'dialogue', 'direction', 'fantastic throughout.Time', 'gem', 'fame and status']]"
Baby (2015) - IMDb,"[['movies', 'basis', 'region or country', 'title', 'India', 'proud', 'movie'], ['people', 'social media', 'low standards', 'Indian movies', 'thrillers', 'lack thrill', 'Hollywood'], ['occasions'], ['people', 'lack', 'movies in Bollywood'], ['movie', 'agenda world', 'i.e', 'Terrorism', 'way'], ['story comprises', 'many small incidents', 'flow of script'], ['hustle', 'front'], ['half', 'plot', 'movie', 'second half', 'execution'], ['scenes complements', 'predecessor', 'nails'], ['Last hour', 'actions', 'acting', 'Akshay Kumar', 'role', 'life'], ['character', 'amount of thrill', 'superb action'], ['Danny', 'role'], ['Anupam', 'Tapsee', 'Kay Kay', 'casts', 'act life', 'characters', 'movie', 'combo of power', 'performances.Director Neeraj Pandey', 'Wednesday and Sp', 'thats', 'scope for improvement'], ['i', 'notch', 'masterpieces'], ['Editing'], ['Screenplay', 'soul', 'movie while BM'], ['Cinematography', 'deserve applause'], ['Dialogues', 'movie', 'lot'], ['Music'], ['Choreography', 'action', 'few flaws', 'few scenes', 'fast', 'drama and screenplay.Overall', 'ovation for Neeraj', 'Akshay', 'Indians', 'movie', 'proud'], ['books', 'Hindi', 'movie of Hollywood standard', 'execution'], ['Akshay', 'shot', 'dream', 'National Award'], ['along with Neeraj Pandey'], ['India', 'Oscar entry', 'next year.I', 'movie', 'other Indian movies']]"
The Skin I Live In (2011) - IMDb,"[['Skin', 'films', 'Spanish director', 'film', 'few sentences'], ['superb work', 'Talk', 'mother'], ['Talk', 'love story', 'woman', 'coma', 'rapist while Mother', 'film', 'nun with AIDS', 'transvestite', 'hearth of gold', 'woman', 'son', 'heart'], ['sentence Almodovar', 'films', 'sound'], ['hands', 'master', 'works of art'], ['Same', 'Skin'], ['sentence', 'film', 'film', 'creepy', 'deals', 'plot', 'plastic surgeon', 'Banderas', 'family', 'Pasolini', 'Salo'], ['beautiful woman', 'Anaya', 'guinea pig', 'kind of skin'], ['Anaya', 'character', 'major metaphor', 'film', 'inner persona intact regardless', 'body'], ['Almodovar', 'films', 'layers', 'movie evolves', 'towards', 'end', 'film', 'plot twist', 'Freud', 'spoilers', 'director', 'horror', 'channel', 'violation', 'moral code', 'characters'], ['score by Alberto Iglesias', 'Almodovar', 'difficult genre'], ['set design', 'cinematography', 'Pedro', 'films'], ['Canes', 'reception', 'film'], ['easy movie'], ['problem', 'horror movies', 'teens', 'little pieces', 'chainsaw', 'Skin', 'suggestion', 'fiction', 'only place', 'one', 'horror', 'gore as metaphors', 'human flaws', 'place', 'demons', 'place', 'sickness', 'one hurt', 'Hitchcock', 'movie', 'dear']]"
The Hateful Eight (2015) - IMDb,"[['years', 'film adaptation', 'Sidney Kingsley', 'Dead End', 'film', 'set qualifies', 'living participant', 'action'], ['house', 'adaption', ""Eugene O'Neill"", 'Long Day', 'Journey Into Night', 'here.The action', 'stagecoach', 'bounty hunter Kurt Russell', 'prisoner Jennifer Jason Leigh', 'town of Red Rock'], ['couple of prairie hitchhikers', 'board', 'bounty hunter Samuel L. Jackson', 'Walton Goggins son', 'Confederate general', 'new sheriff', 'town of Red Rock'], ['Kurt Russell', 'beard and mustache', 'suspicious man'], ['suspicions', 'film', 'ended.80 %', 'action', 'place on set', 'century bed', 'breakfast', 'time', 'Wyoming winter', 'dialog crackle'], ['kind', 'John Ford', 'Howard Hawks', 'Henry Hathaway', 'old days', 'Hateful Eight'], ['Hateful', 'operating word', 'characters', 'nothing', 'them.Besides', 'set of Minnie', 'Haberdashery', 'Quentin Tarrantino', 'fine ensemble cast'], ['outlaw queen Jennifer Jason Leigh', 'Best Supporting Actress nomination', 'humble opinion', 'rest'], ['Hateful Eight', 'Ennio Morricone', 'Oscar', 'musical score', 'Hateful Eight', 'grandpa', 'kind']]"
Elite Squad 2: The Enemy Within (2010) - IMDb,"[['thing', 'bat', 'movie'], ['packed theater', 'Sundance film festival', 'louder applause', 'audience'], ['first film', 'introduces', 'characters'], ['film'], ['director', 'stand', 'first film'], ['fantastic action', 'great dialogue', 'hilarious dark humor'], ['intelligent', 'awkward', 'place moments'], ['viewers', 'film', 'learning experience'], ['action film', '% action', '% plot'], ['something', 'fearless', 'message'], []]"
On the Waterfront (1954) - IMDb,"[['Waterfront', 'story', 'man', 'Terry Malloy', 'dock worker', 'experience', 'boxer', 'much intelligence', 'time', 'docks', 'life', 'tender trace', 'otherwise', 'tough manner', 'pigeons', 'roof', 'brother Charley', 'Rod Steiger', 'suave opportunistic lawyer', 'local dockers', 'union', 'Johnny Friendly', 'Lee J. Cobb', 'mob boss Friendly', 'interest in Terry', 'tries', 'things', 'advantage of Terry', 'killing', 'docker Unaware', 'murderous intentions', 'Terry', 'trap', 'man', 'roof top', 'crime', 'commission Terry', 'alienation', 'union leaders', 'dead man', 'sister', 'Edie', 'Eva Marie Saint', 'grief', 'life', 'help', 'racketeers', 'justice', 'Father Barry', 'Karl Malden', 'priest', 'complete goodness', 'rightness Brando', 'moral dilemma', 'film', 'ordinary man', 'courage', 'Brando', 'rest', 'cast', 'Cobb', 'fury boss', 'workers into silence', 'nothing', 'position of power', 'docks', 'Rod Steiger', 'finest performance', 'clever', 'opportunistic lawyer', 'local docker', 'union', 'Eva Marie Saint', 'blood', 'Brando', 'valves', 'heart', 'Karl Malden', 'activist Catholic priest', 'other longshoremen', 'Brando', 'rights\x97regardless', 'cost\x97rather', 'pawn', 'ruthless system', 'bribes and killings', 'Waterfront', 'great American films', 'strong light', 'violation of justice', 'piece of cinema', 'study of man', 'responsibility', 'fellow man'], ['film', 'Academy Awards']]"
Battle Royale (2000) - IMDb,"[['action'], ['girls', 'adults sinister', 'Battle Royale II']]"
Anatomy of a Murder (1959) - IMDb,"[['Traver novel', 'ANATOMY OF A MURDER', 'complex film', 'easy definition'], ['respects', 'social document', 'era', 'detailed portrait', 'law at work', 'mechanizations and motivations', 'individuals', 'straight-forward case'], ['process', 'certain ethical issues', 'attorney behavior', 'lengths', 'attorney', 'case.Paul Biegler', 'James Stewart', 'small-town lawyer', 're-election', 'position of District Attorney', 'luck', 'headline-making case', 'assault', 'rape', 'murder drops', 'lap'], ['case', 'question', 'identity', 'killer'], ['smart lawyer', 'own career', 'process', 'aid', 'old friend', ""Arthur O'Connell"", 'formidable secretary', 'Eve Arden', 'Biegler'], ['courtroom', 'Claude Dancer', 'George C. Scott', 'prosecutor', 'conviction', 'witness than Biegler'], ['shifting battle', 'jury', 'battle', 'underhanded tactics', 'sides.The performances', 'James Stewart', 'attorney', 'defense', 'Ben Gazzara', 'unsavory client', 'Lee Remick', 'sexy', 'disreputable wife', 'rape', 'none', ""O'Connell"", 'Arden', 'Scott', 'superior performances'], ['script', 'direction and cinematography', 'jazz score', 'bit', 'film', 'whole.Although', 'Stewart', 'film', 'Remick', 'teeth and Gazzara', 'sin', 'film', 'elements', 'way', 'disturbing ambiguity', 'end'], ['courtroom thriller', 'sudden revelations and twists', 'ANATOMY OF A MURDER', 'thought-provoking take', 'law'], ['F. Taylor', 'aka GFT', 'Amazon Reviewer']]"
Jurassic Park (1993) - IMDb,"[['Jurassic Park', 'science fiction adventure film', 'Steven Spielberg'], ['first installment', 'Jurassic Park film series'], ['novel', 'name by Michael Crichton', 'screenplay', 'Crichton', 'David Koepp'], ['film centers', 'Isla Nublar', 'islet', 'Central America', 'Pacific Coast', 'Costa Rica', 'billionaire philanthropist', 'small team', 'genetic scientists', 'wildlife park', 'cloned dinosaurs.Jurassic Park', 'second Steven', 'Spielberg Classic cult Film'], ['science fiction/action/adventure film'], ['film', 'great edge', 'seat action sequences'], ['wonderful cast', 'wonderful performance', 'characters'], ['John Williams music score', 'same like', 'Indiana Jones films'], ['Raiders', 'Lost Ark', 'second Best', 'classic movie', 'franchise'], ['Jurassic Park', 'Academy Awards', 'Best Sound', 'Best Effects', 'Sound Effects Editing', 'Visual Effects.I', 'film', 'death'], ['awesome adventure', 'flick'], ['couple of friends', 'mine that love', 'film'], ['cult', 'classic film', 'heart'], ['Tyrannosaurus Rex', 'group', 'Velociraptors', 'Tim and Lex', 'visitor center', 'main kitchen'], ['Dilophosaurus', 'Nerdy'], ['Brachiosaurus'], ['other dinosaurs', 'film', 'Gallimimus', 'Parasaurolophus and Alamosaurus', 'cameo scene', 'it.The special effects', 'dinosaurs by Stan Winston', 'FANTASTIC'], ['dinosaurs', 'imagery by Industrial Light', 'Magic', 'life-sized animatronic dinosaurs', 'Stan Winston', 'team'], ['film', 'sound design', 'mixture', 'various animal noises', 'dinosaur roars', 'Spielberg', 'creation of DTS', 'company', 'surround sound formats'], ['Stan Winston', 'team', 'great job', 'live Dinosaurs', 'screen'], ['Steven Spielberg', 'wonderful job', 'film', 'childhood film', 'Steven Spielberg'], ['film', 'Raiders', 'Lost Ark', 'film', 'death'], ['screen play', 'Michael Crichton', 'David Koepp', 'great job', 'plot', 'film', 'awesome.The plot', 'preview tour', 'theme park', 'major power', 'dinosaur exhibits', 'wonderful job'], ['acting', 'film', 'Neill as Dr. Alan Grant', 'paleontologist', 'wonderful job', 'character'], ['character', 'skin'], ['Laura Dern', 'Dr. Ellie Sattler', 'paleobotanist'], ['wonderful job', 'ill Triceratops'], ['character', 'ill', 'stating'], ['Laura Dern', 'film', 'heart', 'key watching', 'film', 'person'], ['Jeff Goldblum', 'Dr. Ian Malcolm', 'chaos theorist', 'acting', 'character'], ['Richard Attenborough', 'John Hammond', 'InGen', 'billionaire CEO', 'park', 'creator', 'character'], ['shame Richard Attenborough', 'last year'], ['Ariana Richards', 'Joseph Mazzello', 'Lex and Tim', 'wonderful job', 'John Hammonds', 'grand children'], ['Samuel L. Jackson', 'film'], ['whole cast', 'score by John Williams', 'song', 'everything', 'film'], ['Dr. Grant', 'Lex and Tim', 'park'], ['save home'], ['Lex and Tim', 'pair of raptors', 'main kitchen'], ['terrifying scenes', 'entire film', 'raptors', 'dark kitchen', 'kids'], ['Lex', 'Tim manage', 'raptors', 'freezer and lock', 'other raptor', 'kitchen'], ['scene'], ['scene', 'Ellie', 'Ray', 'severed arm', 'maintenance', 'raptor', 'eat Ray try', 'lot'], ['power', 'electric fences', 'kids with Alan', 'fences', 'power', 'Ellie and Ray', 'fence electrifies Tim', 'fence'], ['scene', 'movie'], [], ['film', 'death'], ['film', 'death'], ['action sequences', 'plot', 'cast everything', 'film']]"
Battleship Potemkin (1925) - IMDb,"[['workers', 'Russia', 'crew', 'battleship Potemkin', 'certain kinship', 'plight', 'brothers'], ['rotting', 'meat', 'crew object', 'front', 'firing squad'], ['marines', 'deadly shots', 'seaman Grigory Vakulinchuk', 'breach and intervenes', 'men', 'squad', 'orders'], ['officers', 'revenge', 'Vakulinchuk', 'struggle', 'bond', 'city of Odessa', 'rebellion', 'bloody', 'series of events.It', 'anybody', 'few films', 'past few decades', 'film', 'opportunity', 'watch'], ['film', 'countless references', 'other films', 'important film'], ['story', 'real events', 'context', 'engaging story'], ['story', 'way of characters', 'brutality', 'injustice of events', '\x96', 'modern gore', 'actions', 'innocents', 'sides', 'key scenes'], ['version', 'original score', '\x96', 'modern rescores', 'film', 'mood', 'well.The feel', 'film', 'surprise', 'modern eyes'], ['points', 'model work', 'model work', 'film'], ['masses of extras', 'use of ships', 'cities', 'way', 'organised chaos', 'today'], ['time though', 'film', 'clean style', 'many silent films', 'period'], ['course', 'benefit of hindsight', 'many films', 'images or directors', 'film in interviews', 'vision', 'film', 'steps', 'firing squad scenes', 'impressive moments'], ['only real thing', 'modern audiences', 'acting', 'silent acting', 'sound'], ['actors', 'act', 'bodies', 'delivery \x96 word cards', 'emotional job', 'extra effort', 'this.Overall', 'classic film', 'many modern directors'], ['story', 'worth hearing', 'directing', 'many scenes', 'memory', 'music', 'emotional edge', 'modern audiences', 'dialogue', 'whole film'], ['piece of cinema', 'media', 'cracking', 'good film', 'own right']]"
Inside Man (2006) - IMDb,"[['movie'], ['Wonderful plot', 'audience guessing', 'last second'], ['Denzel', 'NYPD detective', 'wonderful acting', 'story', 'believing'], ['Clive Owen', 'superb actor'], ['movie', 'bad guy', 'beginning', 'end'], ['Jodie'], ['actors'], ['preview', 'movie', 'times'], ['chair', 'movie', 'NOW']]"
Barton Fink (1991) - IMDb,"[['Spoiler Alert', '%', 'user comments', 'idea', 'movie'], ['WHOLE POINT', 'THIS MASTERPIECE MOVIE', 'movie', 'action', 'plot', 'premise'], ['Barton Fink', 'impassioned Jewish writer', 'lucky break', 'movie', 'execs', 'winner', 'pressure', 'right Hollywood'], ['artist', 'level', 'wrestling film', 'witty stories', 'common man', 'something'], ['man stories', 'own ideas'], [], ['Coens', 'WRITERS/ FILMMAKERS', 'lucky break', 'Blood Simple', 'open door', 'Hollywood films', 'artists', 'majority', 'masses', 'movies', 'small profit', 'genius', 'high critic ratings', 'afloat'], ['THEY ARE Barton Fink'], ['THEIR', 'personal tale', 'symbolic cloak'], ['Barton', 'common man', 'common man', 'B', 'flick', 'heartfelt', 'idealistic piece', 'friendly yokel'], ['predictable mystery', 'unadulterated violence and blood', 'guns blazing', 'loud sex'], ['Barton', 'image', 'idealism', 'beach picture', 'ill', 'idealism', 'form', 'paper'], ['course', 'failure', 'artist', 'business man', 'epic visions'], ['mysterious Audrey', 'real writer', 'Mayhew', 'stories', 'jam', 'catalyst', 'story', 'sex/horror/detective story'], ['Normal writers', 'Fink or Mayhew', 'real-world successful writing', 'dorky', 'common man', 'story', 'final action-filled finale'], ['PURE GENIUS'], ['Adaptation', 'user', 'film', 'similarity', 'plot'], ['point', 'common man', 'movie', 'message', 'people', 'action films', 'Hollywood dishes', 'mogul', 'last third', 'celluloid'], ['end', 'Fink', 'idealism', 'artistic view', 'outlook', 'true passion', 'fight', 'self fulfillment'], ['appearance', 'girl', 'beach', 'Fink', 'box', 'Hollywood thinking', 'action movies', 'movies or plots'], ['goal', 'movie for Joel', 'Ethan', 'well-thought', 'film', 'art flick', 'action piece', 'symbolism than anyone', 'Wells.Now', 'Cannes awards', 'year', 'brothers from St. Louis Park Minnesota', 'gods', 'art film', 'Warchowski brothers', 'gods', 'common man', 'film', 'first Matrix'], ['Warchowski', 'subtitle', 'Matrix Reloaded', 'Burly Man', 'zoom', 'name of Barton Fink', 'mystery screenplay', 'intention', 'film', 'common people', 'clockwork', 'Matrix', 'pure Bible prophecies'], ['Amen', 'brothers']]"
